model_name,checkpoint_path,threshold_kind,target_precision,confidence_threshold,category_id,category_name,predicted_probability,accepted_probability,accepted_distribution
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,37,Primates and lemurs,0.0214,0.0196,0.026203208556149733
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,38,Elephants and pandas,0.0045,0.0044,0.0058823529411764705
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,39,"Writing, stationery, and paper goods",0.0059,0.0033,0.004411764705882353
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,40,"Clothing, fabrics, and wearables",0.0671,0.0446,0.05962566844919786
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,41,Footwear,0.006,0.0045,0.006016042780748663
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,42,"Bags, cases, and personal containers",0.0046,0.0025,0.0033422459893048127
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,43,Musical instruments,0.0321,0.0237,0.031684491978609626
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,44,"Aircraft, spacecraft, and military vehicles",0.0101,0.0078,0.010427807486631016
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,45,Watercraft,0.0075,0.0051,0.006818181818181818
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,46,Road and off-road vehicles,0.0288,0.0238,0.031818181818181815
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,47,Rail vehicles,0.0062,0.0056,0.0074866310160427805
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,48,"Bicycles, motorcycles, and small rides",0.0078,0.006,0.008021390374331552
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,49,"Buildings, shops, and large structures",0.037,0.0248,0.033155080213903745
mobilenet_v3_large_identifier,models\intermediate\mobilenet_v3_large_identifier.pth,target_precision,0.8,0.8555595278739929,50,"Bridges, walls, and barriers",0.0097,0.0071,0.00949197860962567
